RecordID,PolicyID,TransactionType,PolicyStartDate,CancellationDate,DaysUsed,DaysPaid,PaymentFrequency,AnnualTotalCharge,ProductA_Premium,ProductA_TaxAmount,ProductA_Commission,ProductA_AdminFee,ProductB_Premium,ProductB_TaxAmount,ProductB_Commission,ProductC_Premium,ProductC_TaxAmount,ProductC_Commission,ProductC_AdminFee,EventEffectiveDate,PolicyEndDate
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024
1002,POL-1001,Upgrade,15/04/2024,,30,30,monthly,60,30,3,2,1,10,1,1,20,2,1,0.5,15/04/2024,31/03/2025
1003,POL-1001,Cancellation,10/09/2024,10/09/2024,180,150,monthly,-120,-60,-6,-4,-2,-20,-2,-1.5,-40,-4,-2,-1,10/09/2024,31/08/2025
1004,POL-1002,New,01/02/2024,,0,0,quarterly,320,160,16,8,4,80,8,5,80,8,4,2,01/02/2024,31/01/2025
1005,POL-1002,Renewal,01/02/2025,,365,365,quarterly,0,0,0,0,0,0,0,0,0,0,0,0,01/02/2025,31/01/2026
1006,POL-1003,New,10/03/2024,,0,0,monthly,150,70,7,4,2.5,40,4,2.5,40,4,2.5,1.2,10/03/2024,28/02/2025
1007,POL-1003,Upgrade,05/06/2024,,60,30,monthly,45,20,2,1.5,1,10,1,0.8,15,1.5,0.8,0.4,05/06/2024,31/05/2025
1008,POL-1003,Upgrade,01/10/2024,,150,90,monthly,55,25,2.5,1.8,1.2,12,1.2,1,18,1.8,1,0.5,01/10/2024,30/09/2025
1009,POL-1004,New,20/01/2024,,0,0,annual,420,210,21,10,5,100,10,6,110,11,6,2.5,20/01/2024,31/12/2024
1010,POL-1004,Cancellation,15/03/2024,15/03/2024,50,40,annual,-280,-140,-14,-7,-3,-60,-6,-3.5,-80,-8,-4.5,-1.8,15/03/2024,28/02/2025
1011,POL-1005,New,22/05/2024,,0,0,monthly,95,40,4,2.5,1.8,25,2.5,1.5,30,3,1.5,0.6,22/05/2024,30/04/2025
1012,POL-1006,New,01/07/2024,,0,0,quarterly,260,130,13,6,3,60,6,4,70,7,3.5,1.2,01/07/2024,30/06/2025
1013,POL-1006,Upgrade,10/11/2024,,120,90,quarterly,40,20,2,1.2,0.8,8,0.8,0.6,12,1.2,0.6,0.4,10/11/2024,31/10/2025
