RecordID,PolicyID,TransactionType,PolicyStartDate,CancellationDate,DaysUsed,DaysPaid,PaymentFrequency,AnnualTotalCharge,ProductA_Premium,ProductA_TaxAmount,ProductA_Commission,ProductA_AdminFee,ProductB_Premium,ProductB_TaxAmount,ProductB_Commission,ProductC_Premium,ProductC_TaxAmount,ProductC_Commission,ProductC_AdminFee
1001,POL-1001,New,2024-01-01,,0,0,monthly,180.00,90.00,9.00,5.00,3.00,40.00,4.00,3.00,50.00,5.00,3.00,1.50
1002,POL-1001,Upgrade,2024-04-15,,30,30,monthly,60.00,30.00,3.00,2.00,1.00,10.00,1.00,1.00,20.00,2.00,1.00,0.50
1003,POL-1001,Cancellation,2024-09-10,2024-09-10,180,150,monthly,-120.00,-60.00,-6.00,-4.00,-2.00,-20.00,-2.00,-1.50,-40.00,-4.00,-2.00,-1.00

1004,POL-1002,New,2024-02-01,,0,0,quarterly,320.00,160.00,16.00,8.00,4.00,80.00,8.00,5.00,80.00,8.00,4.00,2.00
1005,POL-1002,Renewal,2025-02-01,,365,365,quarterly,340.00,170.00,17.00,9.00,4.50,85.00,8.50,5.50,85.00,8.50,4.50,2.20

1006,POL-1003,New,2024-03-10,,0,0,monthly,150.00,70.00,7.00,4.00,2.50,40.00,4.00,2.50,40.00,4.00,2.50,1.20
1007,POL-1003,Upgrade,2024-06-05,,60,30,monthly,45.00,20.00,2.00,1.50,1.00,10.00,1.00,0.80,15.00,1.50,0.80,0.40
1008,POL-1003,Upgrade,2024-10-01,,150,90,monthly,55.00,25.00,2.50,1.80,1.20,12.00,1.20,1.00,18.00,1.80,1.00,0.50

1009,POL-1004,New,2024-01-20,,0,0,annual,420.00,210.00,21.00,10.00,5.00,100.00,10.00,6.00,110.00,11.00,6.00,2.50
1010,POL-1004,Cancellation,2024-03-15,2024-03-15,50,40,annual,-280.00,-140.00,-14.00,-7.00,-3.00,-60.00,-6.00,-3.50,-80.00,-8.00,-4.50,-1.80

1011,POL-1005,New,2024-05-22,,0,0,monthly,95.00,40.00,4.00,2.50,1.80,25.00,2.50,1.50,30.00,3.00,1.50,0.60

1012,POL-1006,New,2024-07-01,,0,0,quarterly,260.00,130.00,13.00,6.00,3.00,60.00,6.00,4.00,70.00,7.00,3.50,1.20
1013,POL-1006,Upgrade,2024-11-10,,120,90,quarterly,40.00,20.00,2.00,1.20,0.80,8.00,0.80,0.60,12.00,1.20,0.60,0.40
